material_id,formula,energy_above_hull (eV/atom),energy_per_atom (eV/atom),density (g/cm³),band_gap (eV),bulk_modulus_K_VRH (GPa),shear_modulus_G_VRH (GPa),youngs_modulus_E(GPa),epsilon(k),epsilon_var,epsilon_delta,epsilon_ratio
mp-556440,CaZr4(PO4)6,0.0,-8.60590283142857,3.058945895889634,4.172099999999999,,,,,,,
mp-1029267,CaZrN2,0.0,-13.8075860325,4.960404591077643,0.39380000000000004,160.33388750346356,114.87877043967435,278.19446576758173,10.771179883333337,1.7158264283058842,2.778713112051367,1.3115600575194277
mp-4571,CaZrO3,0.0,-8.7496117745,4.603084505750543,3.8263,149.13215598250696,85.0649149255679,214.42536703000542,4.7129140666666665,0.0019365419200177406,0.10718904999999967,1.0230215489600274
mp-1227163,CaZrTi2O7,0.0,-9.16555210181818,4.297743529692703,2.9332000000000003,,,,,,,
mp-28,Ce,0.0,-30.84062876,9.123650329962311,0.0,39.33212975928519,33.85774809922419,78.92623988638128,,,,
mp-20908,Ce(BC)2,0.0,-13.606877589000002,5.613139228902227,0.0,163.30023640661938,126.15714501387633,300.96755227148685,,,,
mp-2646929,Ce(BH4)3,0.0,-4.5696319559375,1.674954586368494,0.34390000000000004,,,,,,,
mp-558621,Ce(BO2)3,0.0,-8.72242802575,4.9546808767186725,0.0,,,,,,,
mp-19865,Ce(MgSi)2,0.0,-4.396559569999999,3.88510559145465,0.0,,,,,,,
mp-5843,Ce(PO3)3,0.0,-8.103410987307694,3.517459245110276,0.22279999999999903,,,,,,,
mp-1019593,Ce(PO3)4,0.0,-7.993407087720588,3.140858086194677,1.2397,,,,,,,
mp-21947,Ce(SO4)2,0.0,-7.319289491477287,3.8646143912077,1.0168,,,,,,,
mp-28370,Ce15B8N25,0.0,-8.9066302621875,7.001085977425103,0.0,,,,,,,
mp-1213867,Ce2(CN2)3,0.0,-14.179739823636362,4.166826212924503,0.0,,,,,,,
mp-1025352,Ce2C(NO)2,0.0,-9.139628867142857,5.264092503746945,0.0,,,,,,,
mp-20181,Ce2C3,0.0,-18.681461966500002,7.092664524971147,0.0,115.66666666666666,71.793351800554,178.45765436116426,,,,
mp-1199805,Ce2H8S3O16,0.0,-6.540316051379309,3.264218720270417,0.0454,,,,,,,
mp-985298,Ce2HfS5,0.0,-20.5831564915625,6.001495733434886,0.0,,,,,,,
mp-505296,Ce2MgSi2,0.0,-5.424455834,5.05722910330071,0.0,68.87442472057857,51.67843732986039,124.01738876985989,,,,
mp-542313,Ce2O3,0.0,-9.111807831250001,6.222299742945029,0.0,,,,,,,
mp-20973,Ce2S3,0.0,-19.566122223,5.154817674175432,0.0,,,,,,,
mp-3972,Ce2SO2,0.0,-8.610765050000001,6.06452966324104,0.0,,,,,,,
mp-662527,Ce2Si2O7,0.0,-8.778385632954546,4.645187000021696,0.07010000000000001,,,,,,,
mp-560000,Ce2Ti2SiO9,0.0,-9.147468898214285,5.231618843528252,0.0,,,,,,,
mp-768309,Ce2TiO5,0.0,-9.3135155728125,5.648122806460933,0.0,,,,,,,
mp-560329,Ce2Zr2O7,0.0,-9.596235085,6.15643049640256,0.0,,,,,,,
mp-1203122,Ce2ZrS5,0.0,-7.312336099375003,5.082623993223414,0.0,,,,,,,
mp-3603,Ce3(BN2)2,0.0,-8.720753535555557,7.077213925839894,0.0,,,,,,,
mp-867221,Ce3(TaN3)2,0.0,-23.876275663636363,8.95325330402489,0.0,170.82362660057828,85.42807528029107,219.66621881444917,,,,
mp-510277,Ce3S2O3,0.0,-8.4474515815625,6.0555430021395384,0.0,,,,,,,
mp-543033,Ce3S3N,0.0,-20.24181906392857,5.469153694542379,0.0,,,,,,,
mp-541712,Ce3Si6N11,0.0,-13.809186031249999,4.953703643122659,0.0,,,,,,,
mp-1226845,Ce3SiS2,0.0,-21.394664465,5.450233759381719,0.0,,,,,,,
mp-1226890,Ce4H11,0.0,-11.424148331333333,5.709637741244639,0.0,,,,,,,
mp-19976,Ce4S3O4,0.0,-8.36746466409091,6.002649733886388,0.0,,,,,,,
mp-32613,Ce5O9,0.0,-9.258292279999997,6.748810387987721,0.0,,,,,,,
mp-570175,Ce5Si3,0.0,-23.203134074375,6.497698548038333,0.0,,,,,,,
mp-1192742,Ce6Mg23C,0.0,-9.790652994666667,3.136959915815042,0.0,,,,,,,
